time,open,high,low,close,tick_volume,spread,real_volume
2026-04-13 06:00:00,1.16883,1.16892,1.16848,1.1688,1316,1,0
2026-04-13 07:00:00,1.1688,1.169,1.16851,1.16861,1496,0,0
2026-04-13 08:00:00,1.16861,1.1689,1.16822,1.16877,1937,0,0
2026-04-13 09:00:00,1.16877,1.16947,1.16766,1.16854,4104,0,0
2026-04-13 10:00:00,1.16855,1.17001,1.16855,1.16968,4096,0,0
2026-04-13 11:00:00,1.16968,1.16971,1.16826,1.1686,3703,0,0
2026-04-13 12:00:00,1.1686,1.16923,1.16831,1.16862,3041,0,0
2026-04-13 13:00:00,1.16862,1.1695,1.16819,1.1693500000000001,2815,0,0
2026-04-13 14:00:00,1.1693500000000001,1.16996,1.16803,1.16814,4440,0,0
2026-04-13 15:00:00,1.16814,1.1699,1.16801,1.16984,4740,0,0
2026-04-13 16:00:00,1.16985,1.17122,1.16953,1.17049,6172,0,0
2026-04-13 17:00:00,1.17049,1.17206,1.16994,1.1710099999999999,7113,0,0
2026-04-13 18:00:00,1.1710099999999999,1.17124,1.17014,1.17095,5296,0,0
2026-04-13 19:00:00,1.17095,1.17315,1.17064,1.1724999999999999,6771,0,0
2026-04-13 20:00:00,1.1724999999999999,1.17377,1.17244,1.17334,3745,0,0
2026-04-13 21:00:00,1.17334,1.17654,1.17334,1.17643,4484,0,0
2026-04-13 22:00:00,1.17643,1.17649,1.17536,1.17601,3584,0,0
2026-04-13 23:00:00,1.176,1.17629,1.17564,1.17585,1702,2,0
2026-04-14 00:00:00,1.17572,1.17591,1.17531,1.17565,943,3,0
2026-04-14 01:00:00,1.17565,1.17649,1.1756,1.17614,1235,1,0
2026-04-14 02:00:00,1.17614,1.17667,1.17597,1.17664,1046,0,0
2026-04-14 03:00:00,1.17667,1.17679,1.17605,1.17663,2212,0,0
2026-04-14 04:00:00,1.17663,1.17678,1.1759,1.17599,1743,0,0
2026-04-14 05:00:00,1.17599,1.17622,1.17559,1.17607,1373,1,0
2026-04-14 06:00:00,1.17607,1.17681,1.17578,1.17668,1155,0,0
2026-04-14 07:00:00,1.17668,1.17698,1.17642,1.17663,1159,2,0
2026-04-14 08:00:00,1.17663,1.17696,1.17594,1.17641,2009,0,0
2026-04-14 09:00:00,1.17641,1.17782,1.1757900000000001,1.1778,3697,0,0
2026-04-14 10:00:00,1.1778,1.17966,1.17774,1.17799,5819,0,0
2026-04-14 11:00:00,1.1779600000000001,1.17843,1.17749,1.1782,3625,0,0
2026-04-14 12:00:00,1.1782,1.17924,1.17815,1.17886,2978,0,0
2026-04-14 13:00:00,1.17886,1.17987,1.1787,1.17965,3231,0,0
2026-04-14 14:00:00,1.17965,1.18061,1.17946,1.17994,3948,0,0
2026-04-14 15:00:00,1.17994,1.18056,1.17919,1.18045,5857,0,0
2026-04-14 16:00:00,1.18045,1.18076,1.17929,1.1798899999999999,5846,0,0
2026-04-14 17:00:00,1.17991,1.1811,1.17933,1.18087,6430,0,0
2026-04-14 18:00:00,1.18087,1.18087,1.17866,1.17903,6132,0,0
2026-04-14 19:00:00,1.17903,1.1797,1.17872,1.1794,2839,0,0
2026-04-14 20:00:00,1.1794,1.17994,1.17906,1.17956,2473,1,0
2026-04-14 21:00:00,1.17956,1.17968,1.17896,1.1792799999999999,2465,0,0
2026-04-14 22:00:00,1.1792799999999999,1.17953,1.17896,1.1791800000000001,1757,0,0
2026-04-14 23:00:00,1.17917,1.17959,1.17907,1.17949,1156,3,0
2026-04-15 00:00:00,1.17946,1.17962,1.17883,1.1791,478,4,0
2026-04-15 01:00:00,1.1791,1.17993,1.1791,1.1795,1196,1,0
2026-04-15 02:00:00,1.1795,1.18017,1.17938,1.17982,1315,0,0
2026-04-15 03:00:00,1.17983,1.17986,1.17886,1.17937,2303,0,0
2026-04-15 04:00:00,1.17937,1.17968,1.17893,1.17907,2225,0,0
2026-04-15 05:00:00,1.17907,1.17908,1.17782,1.1783299999999999,1997,0,0
2026-04-15 06:00:00,1.1783299999999999,1.17892,1.17792,1.1786699999999999,1520,0,0
2026-04-15 07:00:00,1.1786699999999999,1.17895,1.17856,1.17885,1066,0,0
2026-04-15 08:00:00,1.17885,1.17983,1.17881,1.17919,2588,0,0
2026-04-15 09:00:00,1.17919,1.17992,1.17832,1.17841,3184,0,0
2026-04-15 10:00:00,1.1784,1.17904,1.17823,1.17856,4055,0,0
2026-04-15 11:00:00,1.17856,1.17953,1.17845,1.17893,3232,0,0
2026-04-15 12:00:00,1.17893,1.17913,1.17742,1.17814,4829,0,0
2026-04-15 13:00:00,1.17815,1.17865,1.17715,1.17768,4960,0,0
2026-04-15 14:00:00,1.17768,1.17844,1.17729,1.17829,4096,0,0
2026-04-15 15:00:00,1.17828,1.17927,1.17765,1.17874,4497,0,0
2026-04-15 16:00:00,1.17879,1.17974,1.17835,1.17879,5290,0,0
2026-04-15 17:00:00,1.1788,1.18001,1.17843,1.17965,5680,0,0
2026-04-15 18:00:00,1.17965,1.18079,1.17939,1.1798,5512,0,0
2026-04-15 19:00:00,1.1797900000000001,1.18025,1.17962,1.18008,3620,0,0
2026-04-15 20:00:00,1.18005,1.18019,1.17919,1.17948,2614,0,0
2026-04-15 21:00:00,1.17948,1.18018,1.17931,1.18003,3564,0,0
2026-04-15 22:00:00,1.18003,1.18047,1.17982,1.17997,2019,0,0
2026-04-15 23:00:00,1.17996,1.18007,1.17947,1.17986,1312,2,0
2026-04-16 00:00:00,1.17986,1.18024,1.17963,1.17976,487,3,0
2026-04-16 01:00:00,1.17976,1.18031,1.17975,1.1802,931,2,0
2026-04-16 02:00:00,1.1802,1.1807699999999999,1.18012,1.18057,935,2,0
2026-04-16 03:00:00,1.18066,1.18084,1.18025,1.18073,1537,1,0
2026-04-16 04:00:00,1.18073,1.18093,1.17963,1.18024,2023,0,0
2026-04-16 05:00:00,1.18024,1.18176,1.18011,1.1817,2679,0,0
2026-04-16 06:00:00,1.1817,1.18238,1.18117,1.18125,2251,0,0
2026-04-16 07:00:00,1.18125,1.1813,1.1807,1.18093,1266,1,0
2026-04-16 08:00:00,1.18093,1.181,1.18017,1.18037,1853,1,0
2026-04-16 09:00:00,1.18034,1.18069,1.17932,1.18031,3156,0,0
2026-04-16 10:00:00,1.18032,1.18048,1.17902,1.17914,3828,0,0
2026-04-16 11:00:00,1.17914,1.17938,1.17751,1.17862,4000,0,0
2026-04-16 12:00:00,1.17862,1.17876,1.17763,1.17795,3317,0,0
2026-04-16 13:00:00,1.17794,1.17803,1.17716,1.17797,2917,0,0
2026-04-16 14:00:00,1.17797,1.17886,1.1779600000000001,1.17839,3452,0,0
2026-04-16 15:00:00,1.17839,1.17846,1.17757,1.17815,4302,0,0
2026-04-16 16:00:00,1.17815,1.17834,1.17666,1.17719,5304,0,0
2026-04-16 17:00:00,1.17725,1.1782,1.17683,1.17712,6561,0,0
2026-04-16 18:00:00,1.17712,1.17821,1.17694,1.1782,5971,0,0
2026-04-16 19:00:00,1.1782,1.17871,1.17681,1.17748,4581,0,0
2026-04-16 20:00:00,1.17748,1.17754,1.17675,1.17734,3320,0,0
2026-04-16 21:00:00,1.17734,1.17809,1.17727,1.1779600000000001,3175,0,0
2026-04-16 22:00:00,1.17795,1.1785700000000001,1.17793,1.1781,2174,0,0
2026-04-16 23:00:00,1.17809,1.17831,1.1778,1.17819,1164,3,0
2026-04-17 00:00:00,1.17791,1.17815,1.17697,1.17799,392,16,0
2026-04-17 01:00:00,1.17799,1.17871,1.17799,1.1785,1106,3,0
2026-04-17 02:00:00,1.1785,1.17862,1.17794,1.17808,927,0,0
2026-04-17 03:00:00,1.17809,1.1783,1.17763,1.17789,2023,0,0
